101,金山區中興路
102,金山區磺港路
103,金山區民生路
104,金山區中山路
301,深坑區平埔街22巷
302,深坑區文化街
303,深坑區埔新街
304,深坑區北深路2段
305,深坑區北深路3段
306,深坑區北深路1段
307,深坑區深南路
308,深坑區北深路3段157號旁路外停車場
309,深坑區喜樂橋下停車場
310,深坑區深坑街
401,石碇區碇坪路1段
402,石碇區碇格路1段
403,石碇區雙溪口第一停車場
404,石碇區雙溪口第二停車場
405,石碇區石崁道路停車場
406,石碇區皇帝殿西峰停車場
B01,三峽區三樹路
B02,三峽區大同路
B03,三峽區大智路
B04,三峽區大義路
B05,三峽區大學路
B06,三峽區中山路
B07,三峽區仁愛街
B08,三峽區文化路
B09,三峽區民權街
B10,三峽區光明路
B11,三峽區和平街
B12,三峽區愛國路
B13,三峽區學成路
B14,三峽區學府路
B15,三峽區學勤路
B21,樹林區大成路
B22,樹林區大雅路
B23,樹林區佳園路三段
B30,樹林區學成路
B31,樹林區學府路
B32,樹林區學勤路
B33,三峽區安溪路
B35,三峽區中正路
B36,三峽區中山路67巷公有空地平面停車場
B40,三峽區大同路64號旁巷道
B41,三峽區鳶山運動公園停車場
D46,三重區集美街
D47,三重區集成路
D48,三重區新興路
D75,三重區成功路
F14,中和區復興路
F19,中和區景安路
F46,中和區捷運路
H37,淡水區中正東路1段3巷
H38,淡水區竿蓁大型車平面停車場
H39,淡水區學府路
H40,淡水區北新路
H41,淡水區中正路382號前迴轉道
H42,淡水區中正路
H45,淡水區油車口平面停車場
H46,淡水區中正東路2段25巷
H47,淡水區紅樹林路
H48,淡水區稽徵所第二辦公室旁土地停車場
H49,淡水區紅毛城段976地號土地停車場
H50,淡水區義山路1段、2段
H51,淡水區淡金路1段
H52,淡水區崁頂二路
H53,淡水區新市一路1段281巷
H54,淡水區新市一路1段331巷
H55,淡水區新市三路2段
H56,淡水區新市五路3段
H57,淡水區義山路1段163巷
H58,淡水區濱海路1段111巷
H59,淡水區沙崙路1段145巷
H60,淡水區沙崙路131巷13弄
H61,淡水區沙崙路151巷26弄
H62,淡水區淡海路184巷
H63,淡水區文中4公園周邊道路
H64,淡水區油車口平面停車場(機車)
J01,林口區中山路
J02,林口區忠孝路
J03,林口區竹林路
J04,林口區仁愛路
J05,林口區佳林路
J06,林口區文化一路
J07,林口區文化二路
J08,林口區文化三路
J09,林口區林口路
J10,林口區寶林路
J11,林口區信義路
J12,林口區四維路
J13,林口區民治路
J14,林口區公園路
J15,林口區仁愛一路
J16,林口區麗園路
J17,林口區麗園一街
J18,林口區忠孝二路
J20,林口區公園路180號側巷道
J21,林口區廣停(一)力行段170地號
J29,林口區忠孝一路
J30,林口區粉寮路1段
J31,林口區仁愛二路
J32,林口區文化二路1段309巷
J34,林口區文化三路1段394巷
J35,林口區忠孝路308巷
J36,林口區民族路
J37,林口區文化北路
