YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,
109,3,32,1,9,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,10,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,11,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,12,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,13,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,17,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,18,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,19,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,20,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,1,21,3032001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,9,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,10,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,11,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,12,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,13,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,17,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,18,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,19,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,20,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,2,21,3032002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,9,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,10,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,11,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,12,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,13,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,17,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,18,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,19,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,20,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,3,21,3032003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,9,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,10,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,11,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,12,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,13,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,17,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,18,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,19,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,20,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,4,21,3032004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,9,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,10,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,11,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,12,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,13,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,17,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,18,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,19,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,20,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,5,21,3032005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,9,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,10,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,11,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,12,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,13,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,17,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,18,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,19,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,20,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,6,21,3032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,9,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,10,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,11,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,12,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,13,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,17,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,18,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,19,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,20,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,7,21,3032007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,9,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,10,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,11,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,12,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,13,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,17,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,18,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,19,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,20,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,8,21,3032008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,9,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,10,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,11,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,12,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,13,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,17,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,32,9,18,3032009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
