YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
109,05,040,001,9,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,10,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,11,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,12,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,13,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,17,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,18,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,19,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,20,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,001,21,05040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,9,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,10,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,11,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,12,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,13,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,17,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,18,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,19,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,20,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,002,21,05040002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,9,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,10,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,11,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,12,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,13,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,17,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,18,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,19,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,20,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,003,21,05040003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,004,9,05040004,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0
109,05,040,004,10,05040004,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
109,05,040,004,11,05040004,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
109,05,040,004,12,05040004,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0
109,05,040,004,13,05040004,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0
109,05,040,004,17,05040004,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
109,05,040,004,18,05040004,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
109,05,040,004,19,05040004,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0
109,05,040,004,20,05040004,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
109,05,040,004,21,05040004,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
109,05,040,005,9,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,10,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,11,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,12,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,13,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,17,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,18,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,19,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,20,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,005,21,05040005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,006,9,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,10,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,11,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,12,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,13,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,17,05040006,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
109,05,040,006,18,05040006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,05,040,006,19,05040006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,05,040,006,20,05040006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,05,040,006,21,05040006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,05,040,007,9,05040007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
109,05,040,007,10,05040007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
109,05,040,007,11,05040007,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
109,05,040,007,12,05040007,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
109,05,040,007,13,05040007,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
109,05,040,007,17,05040007,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
109,05,040,007,18,05040007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
109,05,040,007,19,05040007,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
109,05,040,007,20,05040007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,05,040,007,21,05040007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,05,040,008,9,05040008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,008,10,05040008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,05,040,008,11,05040008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
