YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
109,03,032,001,9,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,10,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,11,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,12,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,13,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,17,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,18,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,19,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,20,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,001,21,03032001,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0
109,03,032,002,9,03032002,0,20,65,0,0,0,0,0,0,0,0,0,16,0,0
109,03,032,002,10,03032002,0,20,65,0,0,0,0,0,0,0,0,0,16,0,0
109,03,032,002,11,03032002,0,20,65,0,0,0,0,0,0,0,0,0,15,0,0
109,03,032,002,12,03032002,0,20,65,0,0,0,0,0,0,0,0,0,15,0,0
109,03,032,002,13,03032002,0,20,65,0,0,0,0,0,0,0,0,0,15,0,0
109,03,032,002,17,03032002,0,20,65,0,0,0,0,0,0,0,0,0,14,0,0
109,03,032,002,18,03032002,0,20,65,0,0,0,0,0,0,0,0,0,14,0,0
109,03,032,002,19,03032002,0,20,65,0,0,0,0,0,0,0,0,0,14,0,0
109,03,032,002,20,03032002,0,20,65,0,0,0,0,0,0,0,0,0,15,0,0
109,03,032,002,21,03032002,0,20,65,0,0,0,0,0,0,0,0,0,16,0,0
109,03,032,003,9,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,10,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,11,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,12,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,13,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,17,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,18,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,19,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,20,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,003,21,03032003,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,004,9,03032004,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,004,10,03032004,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,004,11,03032004,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,004,12,03032004,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,004,13,03032004,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,004,17,03032004,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,004,18,03032004,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,004,19,03032004,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,004,20,03032004,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,004,21,03032004,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,005,9,03032005,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
109,03,032,005,10,03032005,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
109,03,032,005,11,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,12,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,13,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,17,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,18,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,19,03032005,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
109,03,032,005,20,03032005,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
109,03,032,005,21,03032005,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
109,03,032,006,9,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,006,10,03032006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,03,032,006,11,03032006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,03,032,006,12,03032006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,03,032,006,13,03032006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,03,032,006,17,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,006,18,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,006,19,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,006,20,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,006,21,03032006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,03,032,007,9,03032007,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,007,10,03032007,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,007,11,03032007,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,007,12,03032007,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,007,13,03032007,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0
109,03,032,007,17,03032007,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,007,18,03032007,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,03,032,007,19,03032007,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
