YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,5,1,1,9,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,10,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,11,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,12,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,13,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,17,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,18,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,19,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,20,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,1,21,5001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,9,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,10,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,11,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,12,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,13,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,17,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,18,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,19,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,20,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,2,21,5001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,9,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,10,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,11,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,12,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,13,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,17,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,18,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,19,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,20,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,3,21,5001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,9,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,10,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,11,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,12,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,13,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,17,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,18,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,19,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,20,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,4,21,5001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,9,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,10,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,11,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,12,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,13,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,17,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,18,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,19,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,20,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,5,1,5,21,5001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
