YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,interpolation
109,3,1,1,9,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,10,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,11,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,12,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,13,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,17,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,18,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,19,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,20,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,1,21,3001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,9,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,10,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,11,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,12,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,13,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,17,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,18,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,19,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,20,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,2,21,3001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,3,1,3,9,3001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
