YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
109,2,1,1,9,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,10,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,11,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,12,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,13,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,17,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,18,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,19,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,20,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,1,21,2001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,2,9,2001002,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
109,2,1,2,10,2001002,0,6,0,0,0,8,0,0,0,1,0,0,0,0,0
109,2,1,2,11,2001002,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
109,2,1,2,12,2001002,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
109,2,1,2,13,2001002,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
109,2,1,2,17,2001002,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
109,2,1,2,18,2001002,0,6,0,0,0,8,0,0,0,1,0,0,0,0,0
109,2,1,2,19,2001002,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
109,2,1,2,20,2001002,0,6,0,0,0,7,0,0,0,1,0,0,0,0,0
109,2,1,2,21,2001002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,3,9,2001003,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0
109,2,1,3,10,2001003,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0
109,2,1,3,11,2001003,3,2,0,0,2,4,0,0,0,0,0,0,0,0,0
109,2,1,3,12,2001003,3,2,0,0,2,4,0,0,0,0,0,0,0,0,0
109,2,1,3,13,2001003,3,2,0,0,2,4,0,0,0,0,0,0,0,0,0
109,2,1,3,17,2001003,3,2,0,0,2,4,0,0,0,0,0,0,0,0,0
109,2,1,3,18,2001003,3,2,0,0,2,4,0,0,0,0,0,0,0,0,0
109,2,1,3,19,2001003,3,2,0,0,2,3,0,0,0,0,0,0,0,0,0
109,2,1,3,20,2001003,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0
109,2,1,3,21,2001003,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0
109,2,1,4,9,2001004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,2,1,4,10,2001004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,2,1,4,11,2001004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,2,1,4,12,2001004,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
109,2,1,4,13,2001004,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
109,2,1,4,17,2001004,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
109,2,1,4,18,2001004,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
109,2,1,4,19,2001004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,2,1,4,20,2001004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
109,2,1,4,21,2001004,0,0,0,5,0,0,0,0,0,3,0,0,0,0,4
109,2,1,5,9,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,10,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,11,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,12,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,13,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,17,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,18,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,19,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,20,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,5,21,2001005,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,6,9,2001006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,2,1,6,10,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,11,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,12,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,13,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,17,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,18,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,19,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,20,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,6,21,2001006,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,7,9,2001007,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,7,10,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,11,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,12,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,13,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,17,2001007,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,7,18,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,19,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,20,2001007,1,0,22,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,7,21,2001007,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,8,9,2001008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2,1,8,10,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,11,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,12,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,13,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,17,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,18,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,19,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,20,2001008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,1,8,21,2001008,1,0,0,43,0,0,0,0,0,0,0,0,0,0,31
109,2,1,9,9,2001009,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,9,10,2001009,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0
109,2,1,9,11,2001009,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,9,12,2001009,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,9,13,2001009,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0
109,2,1,9,17,2001009,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,9,18,2001009,0,7,0,0,0,6,0,0,0,1,0,0,0,0,0
109,2,1,9,19,2001009,0,7,0,0,0,5,0,0,0,1,0,0,0,0,0
109,2,1,9,20,2001009,0,7,0,0,0,5,0,0,0,1,0,0,0,0,0
109,2,1,9,21,2001009,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0
109,2,1,10,9,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,10,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,11,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,12,2001010,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,10,13,2001010,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0
109,2,1,10,17,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,18,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,19,2001010,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0
109,2,1,10,20,2001010,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0
109,2,1,10,21,2001010,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0
109,2,1,11,9,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,10,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,11,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,12,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,13,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,17,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,18,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,19,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,20,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,11,21,2001011,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
109,2,1,12,9,2001012,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,12,10,2001012,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0
109,2,1,12,11,2001012,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0
109,2,1,12,12,2001012,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0
109,2,1,12,13,2001012,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0
109,2,1,12,17,2001012,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
109,2,1,12,18,2001012,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
109,2,1,12,19,2001012,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
109,2,1,12,20,2001012,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
109,2,1,12,21,2001012,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
