YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
109,05,001,001,09,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,10,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,11,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,12,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,13,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,17,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,18,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,19,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,20,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,001,21,05001001,0,2,0,0,0,0,0,0,0,0
109,05,001,002,09,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,10,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,11,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,12,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,13,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,17,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,18,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,19,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,20,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,002,21,05001002,0,0,0,0,0,0,0,0,0,0
109,05,001,003,09,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,10,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,11,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,12,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,13,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,17,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,18,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,19,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,20,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,003,21,05001003,0,0,0,0,0,0,0,0,0,0
109,05,001,004,09,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,10,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,11,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,12,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,13,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,17,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,18,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,19,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,20,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,004,21,05001004,0,0,0,0,0,0,0,0,0,0
109,05,001,005,09,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,10,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,11,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,12,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,13,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,17,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,18,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,19,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,20,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,005,21,05001005,0,0,0,0,0,0,0,0,0,0
109,05,001,006,09,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,10,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,11,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,12,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,13,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,17,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,18,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,19,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,20,05001006,0,0,0,0,0,0,0,0,0,0
109,05,001,006,21,05001006,0,0,0,0,0,0,0,0,0,0
