YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
109,03,001,001,09,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,10,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,11,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,12,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,13,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,17,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,18,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,19,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,20,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,001,21,03001001,0,0,0,0,0,0,0,0,0,0
109,03,001,002,09,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,10,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,11,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,12,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,13,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,17,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,18,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,19,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,20,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,002,21,03001002,0,0,0,0,0,0,0,0,0,0
109,03,001,003,09,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,10,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,11,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,12,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,13,03001003,0,0,0,0,0,0,8,0,0,0
109,03,001,003,17,03001003,0,0,0,0,0,0,10,0,0,0
109,03,001,003,18,03001003,0,0,0,0,0,0,8,0,0,0
109,03,001,003,19,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,20,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,003,21,03001003,0,0,0,0,0,0,6,0,0,0
109,03,001,004,09,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,10,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,11,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,12,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,13,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,17,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,18,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,19,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,20,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,004,21,03001004,44,0,0,0,0,0,0,0,0,0
109,03,001,005,09,03001005,0,0,0,0,30,0,0,1,0,0
