YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER,
110,9,42,1,11,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,12,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,13,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,14,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,15,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,16,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,17,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,18,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,19,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,1,20,9042001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,11,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,12,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,13,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,14,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,15,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,16,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,17,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,18,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,19,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,2,20,9042002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,11,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,12,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,13,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,14,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,15,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,16,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,17,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,18,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,19,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,3,20,9042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,11,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,12,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,13,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,14,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,15,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,16,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,17,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,18,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,19,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,4,20,9042004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,11,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,12,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,13,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,14,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,15,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,16,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,17,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,18,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,19,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,5,20,9042005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,11,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,12,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,13,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,14,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,15,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,16,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,17,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,18,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,19,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,6,20,9042006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,11,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,12,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,13,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,14,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,15,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,16,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,17,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,18,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,19,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,7,20,9042007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,8,11,9042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,8,12,9042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,8,13,9042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,9,42,8,14,9042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
