YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
110,07,003,001,11,07003001,0,0,59,0,0,0,0,0,0,0,0,0,50,0,0
110,07,003,001,12,07003001,0,0,59,0,0,0,0,0,0,0,0,0,51,0,0
110,07,003,001,13,07003001,0,0,59,0,0,0,0,0,0,0,0,0,49,0,0
110,07,003,001,14,07003001,0,0,59,0,0,0,0,0,0,0,0,0,51,0,0
110,07,003,001,15,07003001,0,0,59,0,0,0,0,0,0,0,0,0,45,0,0
110,07,003,001,16,07003001,0,0,59,0,0,0,0,0,0,0,0,0,39,0,0
110,07,003,001,17,07003001,0,0,59,0,0,0,0,0,0,0,0,0,35,0,0
110,07,003,001,18,07003001,0,0,59,0,0,0,0,0,0,0,0,0,41,0,0
110,07,003,001,19,07003001,0,0,59,0,0,0,0,0,0,0,0,0,38,0,0
110,07,003,001,20,07003001,0,0,59,0,0,0,0,0,0,0,0,0,43,0,0
110,07,003,002,11,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,12,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,13,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,14,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,15,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,16,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,17,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,18,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,003,002,19,07003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
