YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_ROADSIDE_UNLOAD,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,S_OUTSIDE_UNLOAD,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_ROADSIDE_UNLOAD,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,D_OUTSIDE_UNLOAD,LAND_AREA_ID,LAND_AREA,S-Parent pick-up,D-Parent pick-up
110,7,3,1,11,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,12,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,13,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,14,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,15,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,16,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,17,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,18,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,19,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,1,20,7003001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,11,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,12,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,13,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,14,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,15,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,16,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,17,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,18,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,19,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,2,20,7003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,3,11,7003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,3,12,7003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,3,3,13,7003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
