YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
110,04,026,001,12,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,13,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,14,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,15,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,16,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,17,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,18,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,19,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,20,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,001,21,04026001,0,54,0,0,0,0,2,0,0,0
110,04,026,002,12,04026002,0,0,0,0,0,0,0,2,0,0
110,04,026,002,13,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,14,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,15,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,16,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,17,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,18,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,19,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,20,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,002,21,04026002,0,0,0,0,0,0,0,1,0,0
110,04,026,003,12,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,13,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,14,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,15,04026003,0,0,0,0,0,0,0,4,0,0
110,04,026,003,16,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,17,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,18,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,19,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,20,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,003,21,04026003,0,0,0,0,0,0,0,5,0,0
110,04,026,004,12,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,13,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,14,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,15,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,16,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,17,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,18,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,19,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,20,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,004,21,04026004,0,5,0,0,0,0,0,0,0,0
110,04,026,005,12,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,13,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,14,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,15,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,16,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,17,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,18,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,19,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,20,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,005,21,04026005,0,0,0,0,0,0,0,0,0,0
110,04,026,006,12,04026006,0,4,0,0,0,0,0,0,0,0
110,04,026,006,13,04026006,0,4,0,0,0,0,0,0,0,0
