YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
110,06,068,001,12,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,13,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,14,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,15,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,16,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,17,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,18,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,19,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,20,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,001,21,06068001,0,0,0,0,0,0,0,2,0,0
110,06,068,002,12,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,13,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,14,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,15,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,16,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,17,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,18,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,19,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,20,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,002,21,06068002,0,0,0,0,0,0,0,0,0,0
110,06,068,003,12,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,13,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,14,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,15,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,16,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,17,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,18,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,19,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,20,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,003,21,06068003,0,0,0,0,0,0,0,0,0,0
110,06,068,004,12,06068004,0,0,0,0,0,0,0,0,0,0
110,06,068,004,13,06068004,0,0,0,0,0,0,0,0,0,0
110,06,068,004,14,06068004,0,0,0,0,0,0,0,0,0,0
110,06,068,004,15,06068004,0,0,0,0,0,0,0,0,0,0
