YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
110,08,008,001,11,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,12,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,13,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,14,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,15,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,16,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,17,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,18,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,19,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,001,20,08008001,0,0,0,0,0,0,0,0,0,0
110,08,008,002,11,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,12,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,13,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,14,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,15,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,16,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,17,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,18,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,19,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,002,20,08008002,0,0,0,0,0,0,0,0,0,0
110,08,008,003,11,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,12,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,13,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,14,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,15,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,16,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,17,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,18,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,19,08008003,0,0,0,0,0,0,0,0,0,0
110,08,008,003,20,08008003,0,0,0,0,0,0,0,0,0,0
