YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,
110,04,001,001,09,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,10,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,11,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,12,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,13,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,17,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,18,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,19,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,20,04001001,0,0,0,0,0,0,0,0,0
110,04,001,001,21,04001001,0,0,0,0,0,0,0,0,0
110,04,001,002,09,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,10,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,11,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,12,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,13,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,17,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,18,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,19,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,20,04001002,0,0,0,0,0,0,0,0,0
110,04,001,002,21,04001002,0,0,0,0,0,0,0,0,0
110,04,001,003,09,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,10,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,11,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,12,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,13,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,17,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,18,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,19,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,20,04001003,0,0,0,0,0,0,0,0,0
110,04,001,003,21,04001003,0,0,0,0,0,0,0,0,0
110,04,001,004,09,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,10,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,11,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,12,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,13,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,17,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,18,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,19,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,20,04001004,0,0,0,0,0,0,0,0,0
110,04,001,004,21,04001004,0,0,0,0,0,0,0,0,0
110,04,001,005,09,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,10,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,11,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,12,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,13,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,17,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,18,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,19,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,20,04001005,0,0,0,0,0,0,0,0,0
110,04,001,005,21,04001005,0,0,0,0,0,0,0,0,0
110,04,001,006,09,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,10,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,11,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,12,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,13,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,17,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,18,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,19,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,20,04001006,0,0,0,0,0,0,0,0,0
110,04,001,006,21,04001006,0,0,0,0,0,0,0,0,0
110,04,001,007,09,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,10,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,11,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,12,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,13,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,17,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,18,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,19,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,20,04001007,0,0,0,0,0,0,0,0,0
110,04,001,007,21,04001007,0,0,0,0,0,0,0,0,0
110,04,001,008,09,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,10,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,11,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,12,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,13,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,17,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,18,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,19,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,20,04001008,0,0,25,0,0,0,0,0,0
110,04,001,008,21,04001008,0,0,25,0,0,0,0,0,0
110,04,001,009,09,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,10,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,11,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,12,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,13,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,17,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,18,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,19,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,20,04001009,0,0,0,0,0,0,0,0,0
110,04,001,009,21,04001009,0,0,0,0,0,0,0,0,0
110,04,001,010,09,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,10,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,11,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,12,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,13,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,17,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,18,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,19,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,20,04001010,0,0,0,0,0,0,0,0,0
110,04,001,010,21,04001010,0,0,0,0,0,0,0,0,0
110,04,001,011,09,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,10,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,11,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,12,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,13,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,17,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,18,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,19,04001011,0,0,0,0,0,0,0,0,0
110,04,001,011,20,04001011,0,0,0,0,0,0,0,0,0
