YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,
110,06,001,001,09,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,10,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,11,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,12,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,13,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,17,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,18,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,19,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,20,06001001,0,0,0,0,0,0,0,0,0
110,06,001,001,21,06001001,0,0,0,0,0,0,0,0,0
110,06,001,002,09,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,10,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,11,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,12,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,13,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,17,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,18,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,19,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,20,06001002,0,0,0,0,0,0,0,0,0
110,06,001,002,21,06001002,0,0,0,0,0,0,0,0,0
110,06,001,003,09,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,10,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,11,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,12,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,13,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,17,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,18,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,19,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,20,06001003,0,0,0,0,0,0,0,0,0
110,06,001,003,21,06001003,0,0,0,0,0,0,0,0,0
110,06,001,004,09,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,10,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,11,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,12,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,13,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,17,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,18,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,19,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,20,06001004,0,0,0,0,0,0,0,0,0
110,06,001,004,21,06001004,0,0,0,0,0,0,0,0,0
110,06,001,005,09,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,10,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,11,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,12,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,13,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,17,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,18,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,19,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,20,06001005,0,0,0,0,0,0,0,0,0
110,06,001,005,21,06001005,0,0,0,0,0,0,0,0,0
110,06,001,006,09,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,10,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,11,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,12,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,13,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,17,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,18,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,19,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,20,06001006,0,0,0,0,0,0,0,0,0
110,06,001,006,21,06001006,0,0,0,0,0,0,0,0,0
110,06,001,007,09,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,10,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,11,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,12,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,13,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,17,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,18,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,19,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,20,06001007,0,0,0,0,0,0,0,0,0
110,06,001,007,21,06001007,0,0,0,0,0,0,0,0,0
110,06,001,008,09,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,10,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,11,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,12,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,13,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,17,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,18,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,19,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,20,06001008,0,0,0,0,0,0,0,0,0
110,06,001,008,21,06001008,0,0,0,0,0,0,0,0,0
110,06,001,009,09,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,10,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,11,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,12,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,13,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,17,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,18,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,19,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,20,06001009,0,0,0,0,0,0,0,0,0
110,06,001,009,21,06001009,0,0,0,0,0,0,0,0,0
110,06,001,010,09,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,10,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,11,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,12,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,13,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,17,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,18,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,19,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,20,06001010,0,0,0,0,0,0,0,0,0
110,06,001,010,21,06001010,0,0,0,0,0,0,0,0,0
110,06,002,001,09,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,10,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,11,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,12,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,13,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,17,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,18,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,19,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,20,06002001,0,0,0,0,0,0,0,0,0
110,06,002,001,21,06002001,0,0,0,0,0,0,0,0,0
110,06,002,002,09,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,10,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,11,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,12,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,13,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,17,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,18,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,19,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,20,06002002,0,0,0,0,0,0,0,0,0
110,06,002,002,21,06002002,0,0,0,0,0,0,0,0,0
110,06,002,003,09,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,10,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,11,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,12,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,13,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,17,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,18,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,19,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,20,06002003,0,0,0,0,0,0,0,0,0
110,06,002,003,21,06002003,0,0,0,0,0,0,0,0,0
110,06,002,004,09,06002004,0,0,0,0,0,0,0,0,0
