YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,
110,07,001,001,09,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,10,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,11,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,12,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,13,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,17,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,18,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,19,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,20,07001001,0,0,0,0,0,0,0,0,0
110,07,001,001,21,07001001,0,0,0,0,0,0,0,0,0
110,07,001,002,09,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,10,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,11,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,12,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,13,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,17,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,18,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,19,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,20,07001002,0,0,0,0,0,0,0,0,0
110,07,001,002,21,07001002,0,0,0,0,0,0,0,0,0
110,07,001,003,09,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,10,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,11,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,12,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,13,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,17,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,18,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,19,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,20,07001003,0,0,0,0,0,0,0,0,0
110,07,001,003,21,07001003,0,0,0,0,0,0,0,0,0
110,07,001,004,09,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,10,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,11,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,12,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,13,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,17,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,18,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,19,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,20,07001004,0,0,0,0,2,0,0,0,0
110,07,001,004,21,07001004,0,0,0,0,2,0,0,0,0
110,07,001,005,09,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,10,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,11,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,12,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,13,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,17,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,18,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,19,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,20,07001005,0,0,0,0,0,0,0,0,0
110,07,001,005,21,07001005,0,0,0,0,0,0,0,0,0
110,07,001,006,09,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,10,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,11,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,12,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,13,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,17,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,18,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,19,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,20,07001006,0,0,0,0,0,0,0,0,0
110,07,001,006,21,07001006,0,0,0,0,0,0,0,0,0
110,07,001,007,09,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,10,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,11,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,12,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,13,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,17,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,18,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,19,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,20,07001007,0,0,0,0,0,0,0,0,0
110,07,001,007,21,07001007,0,0,0,0,0,0,0,0,0
110,07,001,008,09,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,10,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,11,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,12,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,13,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,17,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,18,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,19,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,20,07001008,0,0,0,0,0,0,0,0,0
110,07,001,008,21,07001008,0,0,0,0,0,0,0,0,0
110,07,001,009,09,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,10,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,11,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,12,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,13,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,17,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,18,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,19,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,20,07001009,0,0,0,0,0,0,0,0,0
110,07,001,009,21,07001009,0,0,0,0,0,0,0,0,0
110,07,001,010,09,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,10,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,11,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,12,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,13,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,17,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,18,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,19,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,20,07001010,0,0,0,0,0,0,0,0,0
110,07,001,010,21,07001010,0,0,0,0,0,0,0,0,0
110,07,001,011,09,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,10,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,11,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,12,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,13,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,17,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,18,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,19,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,20,07001011,0,0,0,0,1,0,0,0,0
110,07,001,011,21,07001011,0,0,0,0,1,0,0,0,0
110,07,001,012,09,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,10,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,11,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,12,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,13,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,17,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,18,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,19,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,20,07001012,0,0,0,0,0,0,0,0,0
110,07,001,012,21,07001012,0,0,0,0,0,0,0,0,0
110,07,001,013,09,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,10,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,11,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,12,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,13,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,17,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,18,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,19,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,20,07001013,0,0,0,0,0,0,0,0,0
110,07,001,013,21,07001013,0,0,0,0,0,0,0,0,0
110,07,001,014,09,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,10,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,11,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,12,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,13,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,17,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,18,07001014,0,0,0,0,0,0,0,0,0
110,07,001,014,19,07001014,0,0,0,0,0,0,0,0,0
