YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,
110,09,001,001,09,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,10,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,11,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,12,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,13,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,17,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,18,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,19,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,20,09001001,0,0,0,0,0,0,0,0,0
110,09,001,001,21,09001001,0,0,0,0,0,0,0,0,0
110,09,001,002,09,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,10,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,11,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,12,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,13,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,17,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,18,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,19,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,20,09001002,0,0,0,0,0,0,0,0,0
110,09,001,002,21,09001002,0,0,0,0,0,0,0,0,0
110,09,001,003,09,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,10,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,11,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,12,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,13,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,17,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,18,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,19,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,20,09001003,0,0,0,0,0,0,0,0,0
110,09,001,003,21,09001003,0,0,0,0,0,0,0,0,0
110,09,001,004,09,09001004,0,0,0,0,0,0,0,0,0
110,09,001,004,10,09001004,0,0,0,0,0,0,0,0,0
110,09,001,004,11,09001004,0,0,0,0,0,0,0,0,0
110,09,001,004,12,09001004,0,0,0,0,0,0,0,0,0
110,09,001,004,13,09001004,0,0,0,0,0,0,0,0,0
