YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,
110,08,001,001,09,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,10,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,11,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,12,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,13,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,17,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,18,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,19,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,20,08001001,0,0,0,0,0,0,0,0,0
110,08,001,001,21,08001001,0,0,0,0,0,0,0,0,0
110,08,001,002,09,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,10,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,11,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,12,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,13,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,17,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,18,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,19,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,20,08001002,0,0,0,0,0,0,0,0,0
110,08,001,002,21,08001002,0,0,0,0,0,0,0,0,0
110,08,001,003,09,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,10,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,11,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,12,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,13,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,17,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,18,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,19,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,20,08001003,0,0,0,0,0,0,0,0,0
110,08,001,003,21,08001003,0,0,0,0,0,0,0,0,0
110,08,001,004,09,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,10,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,11,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,12,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,13,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,17,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,18,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,19,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,20,08001004,0,0,0,0,0,0,0,0,0
110,08,001,004,21,08001004,0,0,0,0,0,0,0,0,0
110,08,001,005,09,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,10,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,11,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,12,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,13,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,17,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,18,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,19,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,20,08001005,0,0,0,0,0,0,0,0,0
110,08,001,005,21,08001005,0,0,0,0,0,0,0,0,0
110,08,001,006,09,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,10,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,11,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,12,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,13,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,17,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,18,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,19,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,20,08001006,0,0,0,0,0,0,0,0,0
110,08,001,006,21,08001006,0,0,0,0,0,0,0,0,0
110,08,001,007,09,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,10,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,11,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,12,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,13,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,17,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,18,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,19,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,20,08001007,0,0,0,0,0,0,0,0,0
110,08,001,007,21,08001007,0,0,0,0,0,0,0,0,0
110,08,001,008,09,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,10,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,11,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,12,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,13,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,17,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,18,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,19,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,20,08001008,0,0,0,0,0,0,0,0,0
110,08,001,008,21,08001008,0,0,0,0,0,0,0,0,0
110,08,001,009,09,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,10,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,11,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,12,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,13,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,17,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,18,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,19,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,20,08001009,0,0,0,0,0,0,0,0,0
110,08,001,009,21,08001009,0,0,0,0,0,0,0,0,0
110,08,001,010,09,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,10,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,11,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,12,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,13,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,17,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,18,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,19,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,20,08001010,0,0,0,0,0,0,0,0,0
110,08,001,010,21,08001010,0,0,0,0,0,0,0,0,0
110,08,002,001,09,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,10,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,11,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,12,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,13,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,17,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,18,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,19,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,20,08002001,0,0,0,0,0,0,0,0,0
110,08,002,001,21,08002001,0,0,0,0,0,0,0,0,0
110,08,002,002,09,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,10,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,11,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,12,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,13,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,17,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,18,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,19,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,20,08002002,0,0,0,0,0,0,0,0,0
110,08,002,002,21,08002002,0,0,0,0,0,0,0,0,0
110,08,002,003,09,08002003,0,0,0,0,0,0,0,0,0
110,08,002,003,10,08002003,0,0,0,0,0,0,0,0,0
