YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_ROADSIDE_UNLOAD,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,S_OUTSIDE_UNLOAD,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_ROADSIDE_UNLOAD,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,D_OUTSIDE_UNLOAD,LAND_AREA_ID,LAND_AREA,S-Parent pick-up,D-Parent pick-up
110,6,1,1,9,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,10,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,11,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,12,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,13,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,17,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,18,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,19,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,20,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,1,21,6001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,9,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,10,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,11,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,12,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,13,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,17,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,18,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,19,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,20,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,2,21,6001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,9,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,10,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,11,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,12,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,13,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,17,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,18,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,19,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,20,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,3,21,6001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,4,9,6001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,4,10,6001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,4,11,6001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,4,12,6001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,6,1,4,13,6001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
