YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_ROADSIDE_UNLOAD,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,S_OUTSIDE_UNLOAD,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_ROADSIDE_UNLOAD,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,D_OUTSIDE_UNLOAD,LAND_AREA_ID,LAND_AREA,S-Parent pick-up,D-Parent pick-up
110,7,1,1,9,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,10,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,11,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,12,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,13,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,17,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,18,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,19,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,20,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,1,21,7001001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,9,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,10,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,11,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,12,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,13,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,17,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,18,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,19,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,20,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,2,21,7001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,3,9,7001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,3,10,7001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,3,11,7001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7,1,3,12,7001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
