YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
111,11,006,001,13,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,14,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,15,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,16,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,17,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,18,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,19,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,20,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,21,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,001,22,11006001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,002,13,11006002,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,14,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,15,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,16,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,17,11006002,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,18,11006002,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,002,19,11006002,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,002,20,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,21,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,002,22,11006002,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,003,13,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,14,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,15,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,16,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,17,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,18,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,19,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,20,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,21,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,003,22,11006003,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,004,13,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,14,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,15,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,16,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,17,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,18,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,19,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,20,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,21,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,004,22,11006004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,11,006,005,13,11006005,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,005,14,11006005,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,005,15,11006005,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,005,16,11006005,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,005,17,11006005,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,005,18,11006005,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,005,19,11006005,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,005,20,11006005,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0
111,11,006,005,21,11006005,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0
111,11,006,005,22,11006005,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,006,13,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,14,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,15,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,16,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,17,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,18,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,19,11006006,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,006,20,11006006,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,006,21,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,006,22,11006006,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,007,13,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,14,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,15,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,16,11006007,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,007,17,11006007,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,007,18,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,19,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,20,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,007,21,11006007,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,007,22,11006007,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0
111,11,006,008,13,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,14,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,15,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,16,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,17,11006008,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,008,18,11006008,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,008,19,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,20,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,21,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,008,22,11006008,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
111,11,006,009,13,11006009,14,0,20,0,14,0,0,0,0,0,0,0,6,0,0
111,11,006,009,14,11006009,14,0,20,0,14,0,0,0,0,0,0,0,8,0,0
111,11,006,009,15,11006009,14,0,20,0,13,0,0,0,0,0,0,0,13,0,0
111,11,006,009,16,11006009,14,0,20,0,13,0,0,0,0,0,0,0,15,0,0
111,11,006,009,17,11006009,14,0,20,0,14,0,0,0,0,0,0,0,16,0,0
111,11,006,009,18,11006009,14,0,20,0,14,0,0,0,0,0,0,0,16,0,0
111,11,006,009,19,11006009,14,0,20,0,14,0,0,0,0,0,0,0,13,0,0
111,11,006,009,20,11006009,14,0,20,0,14,0,0,0,0,0,0,0,14,0,0
111,11,006,009,21,11006009,14,0,20,0,14,0,0,0,0,0,0,0,12,0,0
111,11,006,009,22,11006009,14,0,20,0,14,0,0,0,0,0,0,0,10,0,0
111,11,006,010,13,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,14,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,15,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,16,11006010,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0
111,11,006,010,17,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,18,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,19,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,20,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,21,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,010,22,11006010,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0
111,11,006,011,13,11006011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,11,006,011,14,11006011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,11,006,011,15,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,011,16,11006011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,11,006,011,17,11006011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,11,006,011,18,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,011,19,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,011,20,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,011,21,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,011,22,11006011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,13,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,14,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,15,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,16,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,17,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,18,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,19,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,20,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,21,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,012,22,11006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,013,13,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,14,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,15,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,16,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,17,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,18,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,19,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,20,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,21,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,013,22,11006013,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,014,13,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,14,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,15,11006014,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
111,11,006,014,16,11006014,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0
111,11,006,014,17,11006014,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0
111,11,006,014,18,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,19,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,20,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,21,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,014,22,11006014,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0
111,11,006,015,13,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,14,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,15,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,16,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,17,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,18,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,19,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,20,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,21,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,015,22,11006015,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,11,006,016,13,11006016,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
111,11,006,016,14,11006016,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
111,11,006,016,15,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,16,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,17,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,18,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,19,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,20,11006016,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
111,11,006,016,21,11006016,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
111,11,006,016,22,11006016,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
111,11,006,017,13,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,14,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,15,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,16,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,17,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,18,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,19,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,20,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,21,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,017,22,11006017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,13,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,14,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,15,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,16,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,17,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,18,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,19,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,20,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,21,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,018,22,11006018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,11,006,019,13,11006019,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,019,14,11006019,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,019,15,11006019,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,019,16,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,019,17,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,019,18,11006019,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
111,11,006,019,19,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,019,20,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,019,21,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,019,22,11006019,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
111,11,006,020,13,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,14,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,15,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,16,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,17,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,18,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,19,11006020,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
111,11,006,020,20,11006020,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
111,11,006,020,21,11006020,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
111,11,006,020,22,11006020,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
