YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
111,13,001,001,11,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,12,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,13,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,14,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,15,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,16,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,17,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,18,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,19,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,001,20,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,11,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,12,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,13,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,14,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,15,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,16,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,17,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,18,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,19,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,002,20,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,11,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,12,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,13,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,14,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,15,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,16,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,17,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,18,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,19,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,003,20,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,004,11,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,004,12,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,001,004,13,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
