YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_ROADSIDE_UNLOAD,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,S_OUTSIDE_UNLOAD,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_ROADSIDE_UNLOAD,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,D_OUTSIDE_UNLOAD,LAND_AREA_ID,LAND_AREA,S-Parent pick-up,D-Parent pick-up
111,12,33,1,9,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,10,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,11,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,12,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,13,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,14,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,15,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,16,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,17,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,1,18,12033001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,9,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,10,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,11,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,12,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,13,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,14,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,15,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,16,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,17,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,2,18,12033002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,9,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,10,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,11,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,12,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,13,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,14,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,15,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,16,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,17,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,3,18,12033003,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,9,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,10,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,11,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,12,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,13,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,14,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,15,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,16,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,17,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,4,18,12033004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,9,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,10,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,11,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,12,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,13,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,14,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,33,5,15,12033005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
