YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_ROADSIDE_UNLOAD,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,S_OUTSIDE_UNLOAD,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_ROADSIDE_UNLOAD,D_OUTSIDE_HELP,D_OUTSIDE_POLICE,D_OUTSIDE_UNLOAD,LAND_AREA_ID,LAND_AREA,S-Parent pick-up,D-Parent pick-up
111,13,1,1,11,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,12,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,13,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,14,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,15,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,16,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,17,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,18,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,19,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,1,20,13001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,11,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,12,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,13,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,14,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,15,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,16,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,17,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,18,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,19,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,2,20,13001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,11,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,12,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,13,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,14,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,15,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,16,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,17,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,18,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,19,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,3,20,13001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,11,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,12,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,13,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,14,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,15,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,16,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,17,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,18,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,19,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,4,20,13001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,11,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,12,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,13,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,14,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,15,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,16,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,17,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,18,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,19,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,5,20,13001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,11,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,12,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,13,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,14,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,15,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,16,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,17,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,18,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,19,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,6,20,13001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,11,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,12,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,13,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,14,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,15,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,16,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,17,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,18,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,19,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,7,20,13001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,11,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,12,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,13,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,14,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,15,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,16,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,17,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,18,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,19,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,8,20,13001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,11,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,12,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,13,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,14,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,15,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,16,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,17,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,18,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,19,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,9,20,13001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,11,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,12,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,13,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,14,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,15,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,16,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,17,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,18,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,19,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,10,20,13001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,11,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,12,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,13,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,14,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,15,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,16,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,17,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,18,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,19,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,11,20,13001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,11,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,12,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,13,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,14,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,15,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,16,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,17,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,18,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,19,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,12,20,13001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,11,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,12,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,13,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,14,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,15,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,16,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,17,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,18,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,19,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,13,20,13001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,14,11,13001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,14,12,13001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,14,13,13001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,14,14,13001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,13,1,14,15,13001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
