YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER
111,12,001,001,09,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,10,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,11,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,12,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,13,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,17,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,18,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,19,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,20,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,001,21,12001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,09,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,10,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,11,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,12,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,13,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,17,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,18,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,19,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,20,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,12,001,002,21,12001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
