YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE,S_OUTSIDE,D_LEGAL_MEDIUM,D_LEGAL_LARGE,D_LEGAL_TRUCK,D_LEGAL_OTHER,D_ILLEGAL_MEDIUM,D_ILLEGAL_LARGE,D_ILLEGAL_TRUCK,D_ILLEGAL_OTHER,D_OUTSIDE_MEDIUM,D_OUTSIDE_LARGE,D_OUTSIDE_TRUCK,D_OUTSIDE_OTHER
111,17,001,001,09,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,10,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,11,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,12,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,13,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,17,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,18,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,19,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,20,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,001,21,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,09,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,10,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,11,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,12,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,13,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,17,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,18,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,19,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,20,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,002,21,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,09,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,10,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,11,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,12,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,13,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,17,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,18,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,19,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,20,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,003,21,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,09,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,10,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,11,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,12,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,13,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,17,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,18,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,19,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,20,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,004,21,17001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,09,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,10,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,11,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,12,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,13,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,17,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,18,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,19,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,20,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,005,21,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,09,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,10,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,11,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,12,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,13,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,17,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,18,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,19,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,20,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,006,21,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,09,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,10,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,11,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,12,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,13,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,17,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,18,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,19,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,20,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,007,21,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,09,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,10,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,11,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,12,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,13,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,17,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,18,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,19,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,20,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,001,008,21,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,09,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,10,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,11,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,12,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,13,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,17,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,18,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,19,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,20,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,001,21,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,09,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,10,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,11,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,12,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,13,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,17,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,18,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,19,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,002,002,20,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
