YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
111,19,1,1,9,19001001,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0
111,19,1,1,10,19001001,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0
111,19,1,1,11,19001001,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0
111,19,1,1,12,19001001,0,0,11,0,0,0,0,0,0,0,1,0,5,0,0
111,19,1,1,13,19001001,0,0,11,0,0,0,0,0,0,0,1,0,5,0,0
111,19,1,1,17,19001001,0,0,11,0,0,0,0,0,0,0,1,0,7,0,0
111,19,1,1,18,19001001,0,0,11,0,0,0,0,0,0,0,1,0,8,0,0
111,19,1,1,19,19001001,0,0,11,0,0,0,0,0,0,0,1,0,8,0,0
111,19,1,1,20,19001001,0,0,11,0,0,0,0,0,0,0,1,0,6,0,0
111,19,1,1,21,19001001,0,0,11,0,0,0,0,0,0,0,1,0,6,0,0
111,19,1,2,9,19001002,3,0,280,0,2,0,0,0,0,0,0,0,82,0,0
111,19,1,2,10,19001002,3,0,280,0,2,0,0,0,0,0,0,0,86,0,0
111,19,1,2,11,19001002,3,0,280,0,3,0,0,0,0,0,0,0,79,0,0
111,19,1,2,12,19001002,3,0,280,0,3,0,0,0,0,1,0,0,101,0,0
111,19,1,2,13,19001002,3,0,280,0,2,0,0,0,0,2,0,0,94,0,0
111,19,1,2,17,19001002,3,0,280,0,2,0,0,0,0,1,0,0,128,0,0
111,19,1,2,18,19001002,3,0,280,0,3,0,0,0,0,0,0,0,131,0,0
111,19,1,2,19,19001002,3,0,280,0,3,0,0,0,0,0,0,0,125,0,0
111,19,1,2,20,19001002,3,0,280,0,3,0,0,0,0,1,0,0,113,0,0
111,19,1,2,21,19001002,3,0,280,0,3,0,0,0,0,0,0,0,104,0,0
111,19,1,3,9,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,3,10,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,3,11,19001003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,19,1,3,12,19001003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,19,1,3,13,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,3,17,19001003,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,19,1,3,18,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,3,19,19001003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,19,1,3,20,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,3,21,19001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,9,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,10,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,11,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,12,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,13,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,17,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,18,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,19,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,20,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,4,21,19001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,9,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,10,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,11,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,12,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,13,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,17,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,18,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,19,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,20,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,5,21,19001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,9,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,10,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,11,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,12,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,13,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,17,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,18,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,19,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,20,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,6,21,19001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,7,9,19001007,0,0,35,0,0,0,0,0,0,0,0,0,24,0,0
111,19,1,7,10,19001007,0,0,35,0,0,0,0,0,0,0,0,0,23,0,0
111,19,1,7,11,19001007,0,0,35,0,0,0,0,0,0,0,0,0,27,0,0
111,19,1,7,12,19001007,0,0,35,0,0,0,0,0,0,1,0,0,25,0,0
111,19,1,7,13,19001007,0,0,35,0,0,0,0,0,0,0,0,0,26,0,0
111,19,1,7,17,19001007,0,0,35,0,0,0,0,0,0,0,0,0,30,0,0
111,19,1,7,18,19001007,0,0,35,0,0,0,0,0,0,0,0,0,32,0,0
111,19,1,7,19,19001007,0,0,35,0,0,0,0,0,0,0,0,0,28,0,0
111,19,1,7,20,19001007,0,0,35,0,0,0,0,0,0,0,0,0,29,0,0
111,19,1,7,21,19001007,0,0,35,0,0,0,0,0,0,0,0,0,27,0,0
111,19,1,8,9,19001008,5,0,12,0,4,0,0,0,0,0,4,0,12,0,0
111,19,1,8,10,19001008,5,0,12,0,3,0,0,0,0,0,4,0,12,0,0
111,19,1,8,11,19001008,5,0,12,0,3,0,0,0,0,0,4,0,12,0,0
111,19,1,8,12,19001008,5,0,12,0,4,0,0,0,0,0,4,0,12,0,0
111,19,1,8,13,19001008,5,0,12,0,3,0,0,0,0,1,4,0,11,0,0
111,19,1,8,17,19001008,5,0,12,0,4,0,0,0,0,0,5,0,11,0,0
111,19,1,8,18,19001008,5,0,12,0,4,0,0,0,0,1,5,0,12,0,0
111,19,1,8,19,19001008,5,0,12,0,5,0,0,0,0,0,5,0,12,0,0
111,19,1,8,20,19001008,5,0,12,0,4,0,0,0,0,0,5,0,12,0,0
111,19,1,8,21,19001008,5,0,12,0,4,0,0,0,0,0,5,0,12,0,0
111,19,1,9,9,19001009,15,0,81,0,12,0,0,0,0,0,0,0,36,0,0
111,19,1,9,10,19001009,15,0,81,0,12,0,0,0,0,0,0,0,34,0,0
111,19,1,9,11,19001009,15,0,81,0,11,0,0,0,0,0,0,0,40,0,0
111,19,1,9,12,19001009,15,0,81,0,10,0,0,0,0,0,0,0,37,0,0
111,19,1,9,13,19001009,15,0,81,0,11,0,0,0,0,0,0,0,38,0,0
111,19,1,9,17,19001009,15,0,81,0,13,0,0,0,0,0,0,0,52,0,0
111,19,1,9,18,19001009,15,0,81,0,12,0,0,0,0,0,0,0,53,0,0
111,19,1,9,19,19001009,15,0,81,0,14,0,0,0,0,0,0,0,45,0,0
111,19,1,9,20,19001009,15,0,81,0,15,0,0,0,0,0,0,0,42,0,0
111,19,1,9,21,19001009,15,0,81,0,14,0,0,0,0,0,0,0,43,0,0
111,19,1,10,9,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,10,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,11,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,12,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,13,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,17,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,18,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,19,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,20,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,10,21,19001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,11,9,19001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,11,10,19001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,19,1,11,11,19001011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,19,1,11,12,19001011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
