YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
111,17,1,1,9,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,10,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,11,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,12,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,13,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,17,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,18,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,19,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,20,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,1,21,17001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,9,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,10,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,11,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,12,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,13,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,17,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,18,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,19,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,20,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,2,21,17001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,9,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,10,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,11,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,12,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,13,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,17,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,18,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,19,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,20,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,3,21,17001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,4,9,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,10,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,11,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,12,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,13,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,17,17001004,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,17,1,4,18,17001004,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,17,1,4,19,17001004,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,17,1,4,20,17001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,17,1,4,21,17001004,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
111,17,1,5,9,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,10,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,11,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,12,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,13,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,17,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,18,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,19,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,20,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,5,21,17001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,9,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,10,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,11,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,12,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,13,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,17,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,18,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,19,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,20,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,6,21,17001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,9,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,10,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,11,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,12,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,13,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,17,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,18,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,19,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,20,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,7,21,17001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,9,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,10,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,11,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,12,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,13,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,17,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,18,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,19,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,20,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,1,8,21,17001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,9,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,10,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,11,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,12,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,13,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,17,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,18,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,19,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,20,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,1,21,17002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,9,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,10,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,11,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,12,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,13,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,17,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,18,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,19,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,20,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,2,21,17002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,9,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,10,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,11,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,12,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,13,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,17,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,18,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,19,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,20,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,3,21,17002003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,9,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,10,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,11,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,12,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,13,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,17,2,4,17,17002004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
