YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_Y,S_ROADSIDE_N,S_OUTSIDE,S_BUILDING,D_LEGAL_Y,D_LEGAL_N1,D_LEGAL_N2,D_LEGAL_MOTO,D_ILLEGAL_ABREAST,D_ILLEGAL_REDLINE,D_ILLEGAL_OTHER,D_ILLEGAL_MOTO,D_OUTSIDE,D_OUTSIDE_MOTO,D_BUILDING
111,21,1,1,9,21001001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,21,1,1,10,21001001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,21,1,1,11,21001001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,21,1,1,12,21001001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,21,1,1,13,21001001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,21,1,1,17,21001001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,21,1,1,18,21001001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
111,21,1,1,19,21001001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
111,21,1,1,20,21001001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
111,21,1,1,21,21001001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
111,21,1,2,9,21001002,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
111,21,1,2,10,21001002,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
111,21,1,2,11,21001002,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
111,21,1,2,12,21001002,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
111,21,1,2,13,21001002,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
111,21,1,2,17,21001002,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
111,21,1,2,18,21001002,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0
111,21,1,2,19,21001002,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
111,21,1,2,20,21001002,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
111,21,1,2,21,21001002,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0
111,21,1,3,9,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,10,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,11,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,12,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,13,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,17,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,18,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,19,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,20,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,3,21,21001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,4,9,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,10,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,11,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,12,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,13,21001004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,21,1,4,17,21001004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
111,21,1,4,18,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,19,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,20,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,4,21,21001004,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
111,21,1,5,9,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,10,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,11,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,12,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,13,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,17,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,18,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,19,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,20,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,5,21,21001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,9,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,10,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,11,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,12,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,13,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,17,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,18,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,21,1,6,19,21001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
