YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_HELP,S_ROADSIDE_POLICE,S_OUTSIDE_HELP,S_OUTSIDE_POLICE,D_ROADSIDE_HELP,D_ROADSIDE_POLICE,D_OUTSIDE_HELP,D_OUTSIDE_POLICE
111,27,001,001,09,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,10,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,11,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,12,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,13,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,17,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,18,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,19,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,20,27001001,0,0,0,0,0,0,0,0,0
111,27,001,001,21,27001001,0,0,0,0,0,0,0,0,0
111,27,001,002,09,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,10,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,11,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,12,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,13,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,17,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,18,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,19,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,20,27001002,0,0,0,0,0,0,0,0,0
111,27,001,002,21,27001002,0,0,0,0,0,0,0,0,0
111,27,001,003,09,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,10,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,11,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,12,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,13,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,17,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,18,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,19,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,20,27001003,0,0,0,0,0,0,0,0,0
111,27,001,003,21,27001003,0,0,0,0,0,0,0,0,0
111,27,001,004,09,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,10,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,11,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,12,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,13,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,17,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,18,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,19,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,20,27001004,0,0,0,0,0,0,0,0,0
111,27,001,004,21,27001004,0,0,0,0,0,0,0,0,0
111,27,001,005,09,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,10,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,11,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,12,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,13,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,17,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,18,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,19,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,20,27001005,0,0,0,0,0,0,0,0,0
111,27,001,005,21,27001005,0,0,0,0,0,0,0,0,0
111,27,001,006,09,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,10,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,11,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,12,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,13,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,17,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,18,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,19,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,20,27001006,0,0,0,0,0,0,0,0,0
111,27,001,006,21,27001006,0,0,0,0,0,0,0,0,0
111,27,001,007,09,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,10,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,11,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,12,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,13,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,17,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,18,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,19,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,20,27001007,0,0,0,0,0,0,0,0,0
111,27,001,007,21,27001007,0,0,0,0,0,0,0,0,0
111,27,001,008,09,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,10,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,11,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,12,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,13,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,17,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,18,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,19,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,20,27001008,0,0,0,0,0,0,0,0,0
111,27,001,008,21,27001008,0,0,0,0,0,0,0,0,0
111,27,001,009,09,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,10,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,11,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,12,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,13,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,17,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,18,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,19,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,20,27001009,0,0,0,0,0,0,0,0,0
111,27,001,009,21,27001009,0,0,0,0,0,0,0,0,0
111,27,001,010,09,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,10,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,11,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,12,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,13,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,17,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,18,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,19,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,20,27001010,0,0,0,0,0,0,0,0,0
111,27,001,010,21,27001010,0,0,0,0,0,0,0,0,0
111,27,001,011,09,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,10,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,11,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,12,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,13,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,17,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,18,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,19,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,20,27001011,0,0,0,0,0,0,0,0,0
111,27,001,011,21,27001011,0,0,0,0,0,0,0,0,0
111,27,001,012,09,27001012,0,0,0,0,0,0,0,0,0
