YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
111,19,001,001,09,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,10,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,11,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,12,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,13,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,17,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,18,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,19,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,20,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,001,21,19001001,0,0,0,0,0,0,0,0,0,0
111,19,001,002,09,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,10,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,11,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,12,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,13,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,17,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,18,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,19,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,20,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,002,21,19001002,0,0,5,0,0,0,0,0,0,0
111,19,001,003,09,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,10,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,11,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,12,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,13,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,17,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,18,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,19,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,20,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,003,21,19001003,0,0,0,0,0,0,0,0,0,0
111,19,001,004,09,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,10,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,11,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,12,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,13,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,17,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,18,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,19,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,20,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,004,21,19001004,0,0,0,0,0,0,0,0,0,0
111,19,001,005,09,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,10,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,11,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,12,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,13,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,17,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,18,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,19,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,20,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,005,21,19001005,0,0,0,0,0,0,0,0,0,0
111,19,001,006,09,19001006,0,0,0,0,0,0,0,0,0,0
111,19,001,006,10,19001006,0,0,0,0,0,0,0,0,0,0
111,19,001,006,11,19001006,0,0,0,0,0,0,0,0,0,0
