YEAR,DISTRICT,TRAFFIC_AREAS,STREET_NO,TIME_SHARING,AREA,S_ROADSIDE_SHELF,S_ROADSIDE_PARKING,S_OUTSIDE,S_BUILDING,D_LEGAL_SHELF,D_LEGAL_PARKING,D_LEGAL_OTHER,D_ILLEGAL,D_OUTSIDE,D_BUILDING
111,13,001,001,09,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,10,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,11,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,12,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,13,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,17,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,18,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,19,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,20,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,001,21,13001001,0,0,0,0,0,0,0,0,0,0
111,13,001,002,09,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,10,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,11,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,12,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,13,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,17,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,18,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,19,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,20,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,002,21,13001002,0,0,0,0,0,0,0,0,0,0
111,13,001,003,09,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,10,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,11,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,12,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,13,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,17,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,18,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,19,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,20,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,003,21,13001003,0,0,0,0,0,0,0,0,0,0
111,13,001,004,09,13001004,0,0,0,0,0,0,0,0,0,0
